Rank,NCT_Number,Study_Title,Primary_Outcome_Measures,Secondary_Outcome_Measures,Criteria_Cleaned,Brief_Summary
1,NCT00219193,A Clinical Study to Evaluate the Safety and Efficacy of the Combination of Aliskiren and Valsartan in Hypertensive Non Responders Patients,Change from baseline in diastolic blood pressure after 8 weeks,Change from baseline in systolic and diastolic blood pressure after 4 weeks and 8 weeks|Change from baseline in standing blood pressure after 4 weeks and 8 weeks|Achieve blood pressure control target of < 140/90 mmHg after 8 weeks,Inclusion Criteria Patients with essential hypertension Patients who are eligible and able to participate in the studyExclusion Criteria Severe hypertension History or evidence of a secondary form of hypertensionOther protocol-defined exclusion criteria may apply.,To evaluate the blood pressure lowering effect and safety of the triple combination aliskiren / valsartan / HCTZ (300/320/25 mg) in patients with essential hypertension not adequately responsive to HCTZ 25 mg
2,NCT00219180,Clinical Study to Evaluate Efficacy and Safety of Aliskiren (150mg & 300mg) Administered Alone and in Combo With Valsartan (160mg and 320mg) in Patients With High Blood Pressure,Change from baseline in diastolic blood pressure after week 8,Change from baseline in systolic blood pressure after week 8|Diastolic blood pressure < 90 mmHg or a reduction of > 10 mmHg after 4 and 8 weeks|Blood pressure control target of < 140/90 mmHg after 4 and 8 weeks|Evaluate 24-hour ambulatory blood pressure monitoring in a subset of patients,Inclusion Criteria Patients with essential hypertension Patients who are eligible and able to participate in the studyExclusion Criteria Severe hypertension History or evidence of a secondary form of hypertension History of Hypertensive encephalopathy or cerebrovascular accidentOther protocol-defined exclusion criteria may apply.,To evaluate the efficacy and safety of aliskiren alone and in combination with valsartan given to patients with essential hypertension
3,NCT00219102,"A Clinical Study to Evaluate Safety & Efficacy of the Combination of Aliskiren, Valsartan & Hydrochlorothiazide in Diabetic Hypertensive Nonresponder Patients",Change from baseline in diastolic blood pressure after 12 weeks,Change from baseline in systolic blood pressure after 12 weeks|Change from baseline in systolic and diastolic blood pressure after 6 weeks|Diastolic blood pressure of < 80 mmHg or a reduction from baseline of diastolic blood pressure of > 10 mmHg after 12 weeks|Achieve mean sitting blood pressure control target of < 130/80 mmHg after 12 weeks,Inclusion Criteria Patients with essential hypertension Patients with a documented diagnosis of Type 1 or Type 2 diabetes mellitus. Patients who are eligible and able to participate in the studyExclusion Criteria Severe hypertension Uncontrolled diabetes type I and II History or evidence of a secondary form of hypertension History of Hypertensive encephalopathy or cerebrovascular accident.Other protocol-defined exclusion criteria may apply.,"To evaluate the blood pressure lowering effect and safety of aliskiren used in combination with valsartan/hydrochlorothiazide in diabetic patients with essential hypertension, not adequately responsive to the combination of valsartan and hydrochlorothiazide"
4,NCT00219037,Long Term Safety of Aliskiren Alone or With the Optional Addition of Hydrochlorothiazide in Patients With Essential Hypertension,"Adverse events, laboratory abnormalities, serious adverse events",Change from baseline in mean sitting diastolic blood pressure after 12 months|Change from baseline in mean sitting systolic blood pressure after 12 months|Change from baseline in standing systolic blood and diastolic pressure after 12 months|Diastolic blood pressure less than 90 mmHg or reduction of 10 mmHg or greater from baseline|Blood pressure less than 140/90 mmHg,Inclusion Criteria1. Patients with essential hypertension.2. Patients who are eligible and able to participate in the study.Exclusion Criteria1. Severe hypertension.2. History or evidence of a secondary form of hypertension.3. History of hypertensive encephalopathy or cerebrovascular accident. Other protocol-defined exclusion criteria may apply.,"Assess the long-term safety and tolerability of aliskiren, with the optional addition of HCTZ, in patients with essential hypertension, to ensure long term blood pressure control and protect against end organ damage."
5,NCT00219024,Clinical Study to Evaluate the Efficacy and Safety of Aliskiren Alone and in Combination With Hydrochlorothiazide in Patients With Essential Hypertension.,Change from baseline in diastolic blood pressure after 8 weeks,Change from baseline in systolic blood pressure after 8 weeks|Diastolic blood pressure is < 90 mmHg or a reduction from baseline of > 10 mmHg after 8 weeks|Blood pressure < 140/90 mmHg|Change from baseline in standing diastolic blood pressure after 8 weeks|Change from baseline in standing systolic blood pressure after 8 weeks,Inclusion Criteria Patients with essential hypertension Patients who are eligible and able to participate in the studyExclusion Criteria Severe hypertension History or evidence of a secondary form of hypertension History of hypertensive encephalopathy or cerebrovascular accidentOther protocol-defined exclusion criteria may apply.,"To demonstrate the efficacy and safety of aliskiren given to patients with essential hypertension, at doses of 75 mg, 150 mg and 300 mg alone, and in combination with hydrochlorothiazide (HCTZ)"
6,NCT00809926,8 Weeks Study to Evaluate the Efficacy and Safety of Valsartan in Combination With Aliskiren Compared to Valsartan Alone in Patients With Stage 2 Hypertension,"Change From Baseline in Mean Sitting Systolic Blood Pressure (MSSBP) at Week 8, To compare the change from baseline in MSSBP after 8 weeks of treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension., Baseline to Week 8","Change From Baseline in Mean Sitting Diastolic Blood Pressure (MSDBP) at Week 8, To compare the change in MSDBP after 8 weeks of treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan (160 mg, 320 mg) treatment regimen in patients with Stage 2 Hypertension., Baseline to Week 8|Percentage of Patients Achieving Blood Pressure Control (Defined as Patients Achieving a MSSBP <140 mmHg and MSDBP <90 mmHg) at Week 8, To evaluate the percentage of patients achieving blood pressure control (defined as patients achieving a MSSBP \<140 mmHg and MSDBP \<90 mmHg) at week 8 following treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension., At Week 8|Percentage of Responders (Defined as Patients With MSSBP <140 mmHg or a Decrease From Baseline ≥20 mmHg) at Week 8, To compare the percentage of responders (defined as patients with MSSBP \<140 mmHg or a decrease from baseline ≥20 mmHg) at week 8 following treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension., At Week 8|Mean Change From Baseline in Plasma Renin Activity (PRA) at Week 8, To assess the change from baseline in PRA after 8 weeks of treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension., Baseline to Week 8|Mean Change From Baseline in Plasma Renin Concentration (PRC) at Week 8, To assess the change from baseline in PRC after 8 weeks of treatment with a valsartan and aliskiren treatment regimen (160/150 mg, 320/300 mg) versus a valsartan treatment regimen (160 mg, 320 mg) in patients with Stage 2 Hypertension., Baseline to Week 8","Inclusion Criteria: Patients who are eligible and able to participate in the study, and who give written informed consent before any assessment is performed. Men or women 18 years and older. Patients with Stage 2 systolic hypertension; defined as having a MSSBP 160 mmHg and 5 mIU/ml). Women of child-bearing potential (WOCBP), defined as all women physiologically capable of becoming pregnant, including women whose career, lifestyle, or sexual orientation precludes intercourse with a male partner and women whose partners have been sterilized by vasectomy or other means, UNLESS they meet the following definition of post-menopausal: 12 months of natural (spontaneous) amenorrhea or 6 months of spontaneous amenorrhea with serum FSH levels >40 mIU/m or 6 weeks post surgical bilateral oophorectomy with or without hysterectomy OR are using one or more of the following acceptable methods of contraception: surgical sterilization (e.g., bilateral tubal ligation), hormonal contraception (implantable, patch, oral), and double-barrier methods. Reliable contraception should be maintained throughout the study and for 7 days after study drug discontinuation. Severe hypertension (an office cuff MSDBP 110 mmHg and/or MSSBP 180 mmHg). Refractory hypertension, defined as unresponsive to triple drug therapy at the maximum dose of each drug, one of which must be a diuretic, and not at blood pressure goal (140/90 mmHg). Patients treated with more than 3 antihypertensive medications (each component of a combination drug counts individually). History or evidence of a secondary form of hypertension.",To evaluate the efficacy and safety of the valsartan/aliskiren combination compared to valsartan alone in patients with Stage 2 hypertension.
7,NCT00927394,Aliskiren and Valsartan vs Valsartan Alone in Patients With Stage II Systolic Hypertension and Type II Diabetes Mellitus,"Change From Baseline in Mean 24-hour Ambulatory Systolic Blood Pressure (MASBP) at Week 8, The 24-hour ambulatory systolic blood pressure was evaluated at baseline (Week 0) and post-baseline visits. The mean hourly systolic blood pressure was calculated at post-dosing hours 1-24 for each patient. The MASBP for each patient was calculated by averaging the patient's available hourly means for post-dosing hours 1-24., baseline, week 8","Change From Baseline in Mean Sitting Systolic Blood Pressure (MSSBP), Sitting blood pressure was measured at trough (24 hours ± 3 hours post dose) and recorded at all study visits. At the first study visit, the arm in which the highest sitting diastolic blood pressure was found was the arm used for all subsequent readings throughout the study. At each study visit, after the patient had been sitting for five minutes, systolic and diastolic blood pressures were measured 3 times using the standard mercury sphygmomanometer. The repeat sitting measurements were made at 1-2 minute intervals and the mean of these 3 sitting blood pressure measurements was used as the average sitting office blood pressure for that visit., Baseline, week 8|Change From Baseline in Mean 24-hour Ambulatory Diastolic Blood Pressure (MADBP) at Week 8, The 24-hour ambulatory diastolic blood pressure was evaluated at baseline (Week 0) and post-baseline visits. The mean hourly diastolic blood pressure was calculated at post-dosing hours 1-24 for each patient. The MADBP for each patient was calculated by averaging the patient's available hourly means for post-dosing hours 1-24., baseline, week 8|Change From Baseline in Mean 24-hour Ambulatory Pulse Pressure (MAPP) at Week 8, The 24-hour ambulatory pulse pressure was evaluated at baseline (Week 0) and post-baseline visits., baseline, week 8|Change From Baseline in Mean Sitting Diastolic Blood Pressure (MSDBP), Sitting blood pressure was measured at trough (24 hours ± 3 hours post dose) and recorded at all study visits. At the first study visit, the arm in which the highest sitting diastolic blood pressure was found was the arm used for all subsequent readings throughout the study. At each study visit, after the patient had been sitting for five minutes, systolic and diastolic blood pressures were measured 3 times using the standard mercury sphygmomanometer. The repeat sitting measurements were made at 1-2 minute intervals and the mean of these 3 sitting blood pressure measurements was used as the average sitting office blood pressure for that visit., Baseline, week 8|Change From Baseline in Mean Sitting Pulse Pressure (MSPP) at Week 8, At each visit, the pulse rate was measured for 30 seconds just prior to the first sitting blood pressure measurement., baseline, week 8|Percentage of Patients Achieving Blood Pressure Control, Blood pressure control was defined as MSSBP/MSDBP \<140/90 mmHg. Percentage of patients achieving of blood pressure control at the corresponding visit was reported, 8 weeks|Percentage of Responders, Responders were defined as patients with MSSBP \<130 mmHg or a reduction from baseline in MSSBP of \>20 mmHg.Percentage of responders achieving a response at the corresponding visit was reported., Baseline, Week 8|Change From Baseline in Plasma Renin Activity (PRA) at Week 8, Baseline, week 8|Change From Baseline in Plasma Renin Concentration (PRC) at Week 8, Baseline, week 8|Change From Baseline in Plasma Aldosterone at Week 8, Baseline, week 8|Number of Patients With Adverse Events, Serious Adverse Events and Death, Adverse events are defined as any unfavorable and unintended diagnosis, symptom, sign (including an abnormal laboratory finding), syndrome or disease which either occurs during study, having been absent at baseline, or, if present at baseline, appears to worsen. Serious adverse events are any untoward medical occurrences that result in death, are life threatening, require (or prolong) hospitalization, cause persistent or significant disability/incapacity, result in congenital anomalies or birth defects, or are other conditions which in judgment of investigators represent significant hazards., 8 weeks","Inclusion Criteria: Patients who are eligible and able to participate in the study, and who give written informed consent before any assessment is performed. Men or women 18 years and older. Patients with Type 2 diabetes mellitus with an HbA1c 9 % at visit 1 and on a stable anti-diabetic regimen not including insulin or stable diet and exercise for at least 4 weeks prior to visit 1.Cohort 1: Patients with Stage 2 systolic hypertension, defined as having a MSSBP 160 mmHg and <200 mmHg at Visit 5 (randomization). Patients who have been newly diagnosed with hypertension or who have not received antihypertensive medication for at least 4 weeks (28 days) prior to Visit 1 must have MSSBP 160 mmHg and < 200 mmHg at Visit 1, otherwise, they will be considered screen failures. Patients receiving antihypertensive medication must have a MSSBP of 150 mmHg and <200 mmHg at Study Visit 1, otherwise they will be considered screen failures.Cohort 2: Patients must also have had a mean 8-hour daytime ambulatory systolic blood pressure (ASBP) 140 mmHg AND mean 8-hour daytime ambulatory diastolic blood pressure (ADBP) 90 mmHg at Visit 5 (randomization). Hypertensive patients with MSSBP 150 mmHg and but <200 mmHg AND MSDBP 95 but <120 mmHg at Visit 5 (randomization). Patients who had been newly diagnosed with hypertension or who had not received antihypertensive medication for at least 4 weeks (28 days) prior to Visit 1 must have had MSSBP 150 mmHg but <200 mmHg and MSDBP 95 but <120 mmHg at Visit 1, otherwise, they were considered screen failures.Exclusion Criteria: Office blood pressure measured by cuff (MSSBP 200 mmHg or MSDBP 120 mmHg). History or evidence of secondary hypertension of any etiology. Refractory hypertension, defined as having uncontrolled BP (140/90 mmHg) while receiving 3 antihypertensive medications at the maximum approved dose of each drug, one of which must be a diuretic. Patients treated with more than 3 antihypertensive medications (each component of a combination drug counts individually). Type 2 diabetes mellitus currently requiring insulin treatment. modification of diet in renal disease (MDRD) estimated glomerular filtration rate (eGFR) < 60 mL/min/1.73m2 Serum sodium less than lower limit of normal, serum potassium < 3.5 mEq/L or 5.3 mEq/L at Visit 1. Known Keith-Wagener grade III or IV hypertensive retinopathy.Cohort 1: Patients with known diabetic retinopathy (eg, having a history of laser therapy for diabetic retinopathy) or diabetic neuropathy (eg, receiving medication for diabetic neuropathy).Cohort 2: Patients with known diabetic retinopathy or diabetic neuropathy and/or having a history of treatment for either.Other protocol-defined inclusion/exclusion criteria applied.","The purpose of the study was to evaluate the blood pressure (BP)-lowering efficacy of the combination of aliskiren and valsartan, as initial therapy, compared to valsartan monotherapy in Type II Diabetic patients with Stage II hypertension."
8,NCT00273299,Valsartan/Hydrochlorothiazide Combination in the Treatment of Severe Hypertension,Blood pressure less than 140/90 mmHg after 4 weeks,Blood pressure less than 140/90 mmHg after 6 weeks|Diastolic blood pressure less than 90 mmHg after 4 and 6 weeks|Systolic blood pressure less than 140 mmHg after 4 and 6 weeks|Change from baseline in systolic and diastolic blood pressure after 4 and 6 weeks|Adverse events and serious adverse events at each study visit for 6 weeks,"Inclusion Criteria: Diagnosed severe hypertensionExclusion Criteria: Inability to discontinue all prior antihypertensive medications Heart failure of any kind History of stroke, transient ischemic attack, myocardial infarction, chest pain, abnormal heart rhythm Liver, kidney, or pancreas disease Diabetes with poor glucose control Allergy to certain medications used to treat high blood pressureOther protocol-defined exclusion criteria may apply.","The purpose of this study is to assess the potential of using valsartan/HCTZ as initial therapy in patients with severe hypertension compared to valsartan alone as initial therapy, and to determine whether a greater proportion of patients achieve blood pressure control with the combination compared to the monotherapy without producing an unacceptable adverse event profile."
9,NCT00241007,A Study Comparing Valsartan With And Without Hydrochlorothiazide In Patients With Hypertension,Adverse events and serious adverse events at each study visit for 54 weeks,"Change from baseline in diastolic blood pressure from baseline after 54 weeks|Change from baseline in systolic blood pressure from baseline after 54 weeks|Change from baseline in standing diastolic and systolic blood pressure after 54 weeks|Hematology and blood chemistries up to 54 weeks|Physical condition including pregnancy, pulse and weight at each study visit",Inclusion Criteria:SUCCESSFUL COMPLETION OF STUDY CVAH631C2301-Exclusion Criteria: NONE,SAFETY EXTENSION STUDY TO THE CORE STUDY CVAH631C2301
10,NCT00277472,Efficacy and Safety of Valsartan/Hydrochlorothiazide Combination Therapy in Patients With Hypertension,Blood pressure control (systolic blood pressure <140 and diastolic blood pressure <90mmHg) after 4 weeks|Blood pressure control (systolic blood pressure <140 and diastolic blood pressure <90mmHg) after 2 weeks and 20 weeks,Change from baseline in systolic blood pressure after 2 weeks and 4 weeks|Change from baseline in diastolic blood pressure after 2 weeks and 4 weeks|Change in systolic blood pressure at 20 weeks compared to 4 weeks|Change in diastolic blood pressure at 20 weeks compared to 4 weeks,"Inclusion Criteria: Male or female 18 years of age and older Diagnosed as having hypertension (mean seated systolic blood pressure 150 mm Hg but 126 mg/dl or on existing anti-diabetic medication History of stroke, transient ischemic attack, or myocardial infarction within the last 6 months, or diagnosed with congestive heart failure.Other protocol-defined inclusion/exclusion criteria may apply.",This study will assess the efficacy and safety of valsartan/hydrochlorothiazide combination therapy in patients with hypertension not controlled with hydrochlorothiazide monotherapy.
